,dp1,dp2,dp3,dp4,dp5,dp6,dp7,dp8,dp9,dp10,dp11,dp12,dp13,dp14,dp15,dp16,dp17,dp18,dp19,hp1,hp2,hp3,hp4,hp5,hp6,hp7,hp8,hc1,hc2,hc3,hc4,hc5
dp1,0.0,0.02767500816621152,0.00956601191719925,0.03728789320945662,0.02185074740140236,0.08611406422298126,0.08672606067381902,0.07490134701058276,0.06785812882771952,0.057880783011284485,0.06648979080279896,0.04618508404235863,0.41945361259858094,0.43008263490869353,0.4178667350818978,0.5530463635338367,0.41904178138820475,0.4198221766129075,0.4099501627429837,0.08368939293602254,0.4189177642939045,0.0676201778317647,0.07971282948810196,0.0818867288453983,0.4075039084107047,0.07053050237308486,0.07021788237336211,0.08368939293602254,0.4189177642939045,0.0676201778317647,0.0765823080482681,0.09002387247835918
dp2,0.02767500816621152,0.0,0.018172467774078403,0.010755783235078867,0.009094196446089048,0.07497073095548756,0.06858599050097247,0.05998494031838376,0.0675668631579095,0.05324851705916045,0.0617751779924602,0.04524216048112543,0.4449358628263158,0.4554094398813033,0.44307015914525655,0.5762547995748056,0.4297061774771224,0.4297644093977532,0.4205265565954179,0.06673639505547406,0.4441215510420556,0.06335521781984366,0.06470545777598434,0.06442775159820606,0.4182399884336746,0.06636976861493489,0.06548296205884124,0.06673639505547406,0.4441215510420556,0.06335521781984366,0.06011171750166607,0.07315220147746897
dp3,0.00956601191719925,0.018172467774078403,0.0,0.027742797623885925,0.0125925235755174,0.08219031211158494,0.08051452226771885,0.06960455939088865,0.06735881501332551,0.05563729973677224,0.06442580592433403,0.04482105402597925,0.42784270054542295,0.43840530946830997,0.4261353567588649,0.5614768658404374,0.42336345312390844,0.4239006934648717,0.41423841881819545,0.0778353696593006,0.42718663224052716,0.06573349503867511,0.07444661156156986,0.07585228479749172,0.41184493364614777,0.06873551798742583,0.06822018312053511,0.0778353696593006,0.42718663224052716,0.06573349503867511,0.0708082495900006,0.0842517354123929
dp4,0.03728789320945662,0.010755783235078867,0.027742797623885925,0.0,0.015907715423656762,0.0787761873474478,0.06915850296239483,0.06261784438959975,0.07525001435215635,0.06022533116554659,0.06837117764818884,0.05361582370905017,0.45141106017686117,0.46176229734572527,0.44933657737157634,0.5870090717748744,0.43862912367169676,0.43851876371712994,0.4294340628839305,0.06804014569355635,0.45038776244143314,0.0700344457106639,0.06709756407649822,0.065536958832404,0.42718538681233076,0.07298000524116229,0.07194206475352032,0.06804014569355635,0.45038776244143314,0.0700344457106639,0.06193913472111272,0.07428855860763674
dp5,0.02185074740140236,0.009094196446089048,0.0125925235755174,0.015907715423656762,0.0,0.08273461385055639,0.0774134928420101,0.0683077863936502,0.07270701403578643,0.059237811472065874,0.06795569366138943,0.04999866216210371,0.43641443537077906,0.44684356408031656,0.43447338500994576,0.5739287997129956,0.4326201816339618,0.4329158438149401,0.42346597658489754,0.07541039164465904,0.43552475103144117,0.06945076923980203,0.07307991754921561,0.07315624061555287,0.4211254296619976,0.07248704580130473,0.07172807785658313,0.07541039164465904,0.43552475103144117,0.06945076923980203,0.06867984871853319,0.08184452266340618
dp6,0.08611406422298126,0.07497073095548756,0.08219031211158494,0.0787761873474478,0.08273461385055639,0.0,0.023743581722225807,0.01747423145663383,0.032346888830305516,0.030300564499695645,0.02411964916825978,0.04241537675183525,0.4933351880304088,0.5044919238729236,0.49278833020375423,0.5578056741133063,0.37418035464465527,0.37276394182511735,0.3649269172341215,0.019687765363291008,0.49383219076929585,0.024229236574851726,0.014710646008929585,0.021761664366495608,0.36300252947465805,0.023033063756261896,0.02202618668767033,0.019687765363291008,0.49383219076929585,0.024229236574851726,0.020566489758829538,0.019459167531013462
dp7,0.08672606067381902,0.06858599050097247,0.08051452226771885,0.06915850296239483,0.0774134928420101,0.023743581722225807,0.0,0.01470226241093206,0.050914935333356864,0.041860088509222335,0.04017500049781872,0.051336499335265726,0.5026396326136596,0.5135674981947355,0.5016109753504205,0.5808696448137045,0.3966426056250152,0.39497852430733615,0.3873911858122236,0.004881722032231128,0.5026593742973448,0.041182482319549234,0.011886824344626021,0.005142017600121221,0.38552662570826585,0.04150360433745336,0.04004676322750583,0.004881722032231128,0.5026593742973448,0.041182482319549234,0.010950971555067397,0.006138342447276434
dp8,0.07490134701058276,0.05998494031838376,0.06960455939088865,0.06261784438959975,0.0683077863936502,0.01747423145663383,0.01470226241093206,0.0,0.037204066981985494,0.027169822413849506,0.02614851133429893,0.03682287685665095,0.48871943579317445,0.4996995796936432,0.4877983879678203,0.5686990134631854,0.39078012686547947,0.38952539790878815,0.38152756370280716,0.010127447950990773,0.48884592654639375,0.027348737484573154,0.004842127321743004,0.009801918434674137,0.37955987844080713,0.028161559207544314,0.026629082916991675,0.010127447950990773,0.48884592654639375,0.027348737484573154,0.0046897541513399865,0.01566671707793431
dp9,0.06785812882771952,0.0675668631579095,0.06735881501332551,0.07525001435215635,0.07270701403578643,0.032346888830305516,0.050914935333356864,0.037204066981985494,0.0,0.0157686603742995,0.011189973413731659,0.022751830607665984,0.46266892328099596,0.4739315824145936,0.4623659420156303,0.5320531346416446,0.3642443421509819,0.36382719217782655,0.3550233751811291,0.04603429193547115,0.4634066387450651,0.009858522911673016,0.03902962773329961,0.04664595743470285,0.3528549690085171,0.009578334980570634,0.01092783185265974,0.04603429193547115,0.4634066387450651,0.009858522911673016,0.04187061224773486,0.049092265785969584
dp10,0.057880783011284485,0.05324851705916045,0.05563729973677224,0.06022533116554659,0.059237811472065874,0.030300564499695645,0.041860088509222335,0.027169822413849506,0.0157686603742995,0.0,0.008802895262360033,0.012264387550951984,0.46362495211970195,0.47472072801174425,0.4629496990581169,0.5457605128259096,0.3799247037835283,0.379445981148834,0.3707002861949272,0.03716443940112998,0.4639948817659513,0.010220259096521495,0.03055397625514542,0.036948860401914654,0.3685443951222182,0.013257125065415917,0.012603285325660345,0.03716443940112998,0.4639948817659513,0.010220259096521495,0.031384349857854245,0.04182545476142882
dp11,0.06648979080279896,0.0617751779924602,0.06442580592433403,0.06837117764818884,0.06795569366138943,0.02411964916825978,0.04017500049781872,0.02614851133429893,0.011189973413731659,0.008802895262360033,0.0,0.020436325330159388,0.4692366278979084,0.4804050179931564,0.46871894476861653,0.5432296801289495,0.3729981221212782,0.37235059822296435,0.3637639993869641,0.03530008063730161,0.469762394378268,0.0017490949088021465,0.028314146888081,0.03572844804913796,0.3616495094881231,0.004612282948821635,0.003800422081817604,0.03530008063730161,0.469762394378268,0.0017490949088021465,0.030786761067056495,0.038866644015145106
dp12,0.04618508404235863,0.04524216048112543,0.04482105402597925,0.05361582370905017,0.04999866216210371,0.04241537675183525,0.051336499335265726,0.03682287685665095,0.022751830607665984,0.012264387550951984,0.020436325330159388,0.0,0.45230193974600397,0.46334544992046944,0.45151738311166134,0.5434777753192859,0.38503601886706773,0.3849029400615179,0.37583720608928545,0.04694044680230718,0.4525636238066432,0.021469952631525742,0.040863065829668886,0.0462314519888801,0.37359934409203793,0.024351221098746753,0.024097506530757658,0.04694044680230718,0.4525636238066432,0.021469952631525742,0.04043774486788509,0.052241716089732854
dp13,0.41945361259858094,0.4449358628263158,0.42784270054542295,0.45141106017686117,0.43641443537077906,0.4933351880304088,0.5026396326136596,0.48871943579317445,0.46266892328099596,0.46362495211970195,0.4692366278979084,0.45230193974600397,0.0,0.012234835511772449,0.01095232952389657,0.48197306831398634,0.6070031481112764,0.6157332166011501,0.60164506372528,0.49866317915803676,0.010835970699480883,0.4692684675406991,0.4930277313995591,0.49751162539281346,0.5981383211164455,0.47094483433731205,0.4716752138209047,0.49866317915803676,0.010835970699480883,0.4692684675406991,0.4917452844105367,0.504349298413312
dp14,0.43008263490869353,0.4554094398813033,0.43840530946830997,0.46176229734572527,0.44684356408031656,0.5044919238729236,0.5135674981947355,0.4996995796936432,0.4739315824145936,0.47472072801174425,0.4804050179931564,0.46334544992046944,0.012234835511772449,0.0,0.013171552452159084,0.49066571720062313,0.6189066864019214,0.6276729754593591,0.6135827051547349,0.5096218907150725,0.012194318226125404,0.48045518038210483,0.5040315473707977,0.5084439195752115,0.6100755935750963,0.48215767732662207,0.48287385443923225,0.5096218907150725,0.012194318226125404,0.48045518038210483,0.5026859467500604,0.5153400668393687
dp15,0.4178667350818978,0.44307015914525655,0.4261353567588649,0.44933657737157634,0.43447338500994576,0.49278833020375423,0.5016109753504205,0.4877983879678203,0.4623659420156303,0.4629496990581169,0.46871894476861653,0.45151738311166134,0.01095232952389657,0.013171552452159084,0.0,0.49201845919233705,0.6132765376475822,0.6218860150542099,0.6078070621677593,0.4976972170406479,0.001051391934530527,0.4687915695167752,0.49215480594727634,0.49649246921278134,0.6043020832745872,0.4705264568087575,0.4712246937555388,0.4976972170406479,0.001051391934530527,0.4687915695167752,0.4907436724176941,0.50344809707457
dp16,0.5530463635338367,0.5762547995748056,0.5614768658404374,0.5870090717748744,0.5739287997129956,0.5578056741133063,0.5808696448137045,0.5686990134631854,0.5320531346416446,0.5457605128259096,0.5432296801289495,0.5434777753192859,0.48197306831398634,0.49066571720062313,0.49201845919233705,0.0,0.3211424765193813,0.3329534947856848,0.32387650297142506,0.5762010691867906,0.4922761843772253,0.5417917600997627,0.5694870950820563,0.5774421840262454,0.32170490961749604,0.5406101724579364,0.542159639347121,0.5762010691867906,0.4922761843772253,0.5417917600997627,0.5733798023718673,0.5772498177548447
dp17,0.41904178138820475,0.4297061774771224,0.42336345312390844,0.43862912367169676,0.4326201816339618,0.37418035464465527,0.3966426056250152,0.39078012686547947,0.3642443421509819,0.3799247037835283,0.3729981221212782,0.38503601886706773,0.6070031481112764,0.6189066864019214,0.6132765376475822,0.3211424765193813,0.0,0.01194407740262857,0.00925343957672039,0.3934396070212044,0.6140273855212026,0.37124911123530047,0.38884983685222335,0.39576565594553553,0.011567269902617423,0.3686668105756202,0.3700207174443097,0.3934396070212044,0.6140273855212026,0.37124911123530047,0.3945597039295838,0.3909504192669456
dp18,0.4198221766129075,0.4297644093977532,0.4239006934648717,0.43851876371712994,0.4329158438149401,0.37276394182511735,0.39497852430733615,0.38952539790878815,0.36382719217782655,0.379445981148834,0.37235059822296435,0.3849029400615179,0.6157332166011501,0.6276729754593591,0.6218860150542099,0.3329534947856848,0.01194407740262857,0.0,0.014097637851784283,0.391887555160915,0.6226466493325106,0.3706030370760608,0.3874605614575506,0.3942536405881365,0.017605388095692887,0.36797051292868527,0.36929886084985586,0.391887555160915,0.6226466493325106,0.3706030370760608,0.3932191583760897,0.38921979572472937
dp19,0.4099501627429837,0.4205265565954179,0.41423841881819545,0.4294340628839305,0.42346597658489754,0.3649269172341215,0.3873911858122236,0.38152756370280716,0.3550233751811291,0.3707002861949272,0.3637639993869641,0.37583720608928545,0.60164506372528,0.6135827051547349,0.6078070621677593,0.32387650297142506,0.00925343957672039,0.014097637851784283,0.0,0.38418677492724695,0.6085668496213048,0.36201501870640634,0.3795964203677375,0.3865125090989933,0.0035079265955800577,0.3594301925492619,0.36078294216051965,0.38418677492724695,0.6085668496213048,0.36201501870640634,0.385306466290147,0.3817003031240609
hp1,0.08368939293602254,0.06673639505547406,0.0778353696593006,0.06804014569355635,0.07541039164465904,0.019687765363291008,0.004881722032231128,0.010127447950990773,0.04603429193547115,0.03716443940112998,0.03530008063730161,0.04694044680230718,0.49866317915803676,0.5096218907150725,0.4976972170406479,0.5762010691867906,0.3934396070212044,0.391887555160915,0.38418677492724695,0.0,0.49874513574069446,0.03630132917676996,0.007005251530104936,0.0026976235838242326,0.3822939608468852,0.03663141996974847,0.03517072966260602,0.0,0.49874513574069446,0.03630132917676996,0.007122081998967226,0.0064456374393841425
hp2,0.4189177642939045,0.4441215510420556,0.42718663224052716,0.45038776244143314,0.43552475103144117,0.49383219076929585,0.5026593742973448,0.48884592654639375,0.4634066387450651,0.4639948817659513,0.469762394378268,0.4525636238066432,0.010835970699480883,0.012194318226125404,0.001051391934530527,0.4922761843772253,0.6140273855212026,0.6226466493325106,0.6085668496213048,0.49874513574069446,0.0,0.4698345315374334,0.49320194716768834,0.4975407897770821,0.6050617009239665,0.47156869965043435,0.47226734066627923,0.49874513574069446,0.0,0.4698345315374334,0.4917918519750028,0.5044955019512102
hp3,0.0676201778317647,0.06335521781984366,0.06573349503867511,0.0700344457106639,0.06945076923980203,0.024229236574851726,0.041182482319549234,0.027348737484573154,0.009858522911673016,0.010220259096521495,0.0017490949088021465,0.021469952631525742,0.4692684675406991,0.48045518038210483,0.4687915695167752,0.5417917600997627,0.37124911123530047,0.3706030370760608,0.36201501870640634,0.03630132917676996,0.4698345315374334,0.0,0.029299112768136956,0.036832556427706074,0.3599004265071111,0.003037036219739396,0.0026724193159001603,0.03630132917676996,0.4698345315374334,0.0,0.03201273609050286,0.039649801537968446
hp4,0.07971282948810196,0.06470545777598434,0.07444661156156986,0.06709756407649822,0.07307991754921561,0.014710646008929585,0.011886824344626021,0.004842127321743004,0.03902962773329961,0.03055397625514542,0.028314146888081,0.040863065829668886,0.4930277313995591,0.5040315473707977,0.49215480594727634,0.5694870950820563,0.38884983685222335,0.3874605614575506,0.3795964203677375,0.007005251530104936,0.49320194716768834,0.029299112768136956,0.0,0.007964159340446112,0.37766289813668585,0.02963992240205643,0.028172949330873224,0.007005251530104936,0.49320194716768834,0.029299112768136956,0.005955461107251707,0.01138150504107851
hp5,0.0818867288453983,0.06442775159820606,0.07585228479749172,0.065536958832404,0.07315624061555287,0.021761664366495608,0.005142017600121221,0.009801918434674137,0.04664595743470285,0.036948860401914654,0.03572844804913796,0.0462314519888801,0.49751162539281346,0.5084439195752115,0.49649246921278134,0.5774421840262454,0.39576565594553553,0.3942536405881365,0.3865125090989933,0.0026976235838242326,0.4975407897770821,0.036832556427706074,0.007964159340446112,0.0,0.3846091371678526,0.03737678522826758,0.035881210793395145,0.0026976235838242326,0.4975407897770821,0.036832556427706074,0.005812529311753414,0.008765994353181195
hp6,0.4075039084107047,0.4182399884336746,0.41184493364614777,0.42718538681233076,0.4211254296619976,0.36300252947465805,0.38552662570826585,0.37955987844080713,0.3528549690085171,0.3685443951222182,0.3616495094881231,0.37359934409203793,0.5981383211164455,0.6100755935750963,0.6043020832745872,0.32170490961749604,0.011567269902617423,0.017605388095692887,0.0035079265955800577,0.3822939608468852,0.6050617009239665,0.3599004265071111,0.37766289813668585,0.3846091371678526,0.0,0.3573281077791114,0.3586868530138812,0.3822939608468852,0.6050617009239665,0.3599004265071111,0.38335981337641645,0.3798537687084342
hp7,0.07053050237308486,0.06636976861493489,0.06873551798742583,0.07298000524116229,0.07248704580130473,0.023033063756261896,0.04150360433745336,0.028161559207544314,0.009578334980570634,0.013257125065415917,0.004612282948821635,0.024351221098746753,0.47094483433731205,0.48215767732662207,0.4705264568087575,0.5406101724579364,0.3686668105756202,0.36797051292868527,0.3594301925492619,0.03663141996974847,0.47156869965043435,0.003037036219739396,0.02963992240205643,0.03737678522826758,0.3573281077791114,0.0,0.0015571621623973325,0.03663141996974847,0.47156869965043435,0.003037036219739396,0.032851185321082436,0.03952959545707672
hp8,0.07021788237336211,0.06548296205884124,0.06822018312053511,0.07194206475352032,0.07172807785658313,0.02202618668767033,0.04004676322750583,0.026629082916991675,0.01092783185265974,0.012603285325660345,0.003800422081817604,0.024097506530757658,0.4716752138209047,0.48287385443923225,0.4712246937555388,0.542159639347121,0.3700207174443097,0.36929886084985586,0.36078294216051965,0.03517072966260602,0.47226734066627923,0.0026724193159001603,0.028172949330873224,0.035881210793395145,0.3586868530138812,0.0015571621623973325,0.0,0.03517072966260602,0.47226734066627923,0.0026724193159001603,0.03131818636192223,0.03816869970276958
hc1,0.08368939293602254,0.06673639505547406,0.0778353696593006,0.06804014569355635,0.07541039164465904,0.019687765363291008,0.004881722032231128,0.010127447950990773,0.04603429193547115,0.03716443940112998,0.03530008063730161,0.04694044680230718,0.49866317915803676,0.5096218907150725,0.4976972170406479,0.5762010691867906,0.3934396070212044,0.391887555160915,0.38418677492724695,0.0,0.49874513574069446,0.03630132917676996,0.007005251530104936,0.0026976235838242326,0.3822939608468852,0.03663141996974847,0.03517072966260602,0.0,0.49874513574069446,0.03630132917676996,0.007122081998967226,0.0064456374393841425
hc2,0.4189177642939045,0.4441215510420556,0.42718663224052716,0.45038776244143314,0.43552475103144117,0.49383219076929585,0.5026593742973448,0.48884592654639375,0.4634066387450651,0.4639948817659513,0.469762394378268,0.4525636238066432,0.010835970699480883,0.012194318226125404,0.001051391934530527,0.4922761843772253,0.6140273855212026,0.6226466493325106,0.6085668496213048,0.49874513574069446,0.0,0.4698345315374334,0.49320194716768834,0.4975407897770821,0.6050617009239665,0.47156869965043435,0.47226734066627923,0.49874513574069446,0.0,0.4698345315374334,0.4917918519750028,0.5044955019512102
hc3,0.0676201778317647,0.06335521781984366,0.06573349503867511,0.0700344457106639,0.06945076923980203,0.024229236574851726,0.041182482319549234,0.027348737484573154,0.009858522911673016,0.010220259096521495,0.0017490949088021465,0.021469952631525742,0.4692684675406991,0.48045518038210483,0.4687915695167752,0.5417917600997627,0.37124911123530047,0.3706030370760608,0.36201501870640634,0.03630132917676996,0.4698345315374334,0.0,0.029299112768136956,0.036832556427706074,0.3599004265071111,0.003037036219739396,0.0026724193159001603,0.03630132917676996,0.4698345315374334,0.0,0.03201273609050286,0.039649801537968446
hc4,0.0765823080482681,0.06011171750166607,0.0708082495900006,0.06193913472111272,0.06867984871853319,0.020566489758829538,0.010950971555067397,0.0046897541513399865,0.04187061224773486,0.031384349857854245,0.030786761067056495,0.04043774486788509,0.4917452844105367,0.5026859467500604,0.4907436724176941,0.5733798023718673,0.3945597039295838,0.3932191583760897,0.385306466290147,0.007122081998967226,0.4917918519750028,0.03201273609050286,0.005955461107251707,0.005812529311753414,0.38335981337641645,0.032851185321082436,0.03131818636192223,0.007122081998967226,0.4917918519750028,0.03201273609050286,0.0,0.013457810000145343
hc5,0.09002387247835918,0.07315220147746897,0.0842517354123929,0.07428855860763674,0.08184452266340618,0.019459167531013462,0.006138342447276434,0.01566671707793431,0.049092265785969584,0.04182545476142882,0.038866644015145106,0.052241716089732854,0.504349298413312,0.5153400668393687,0.50344809707457,0.5772498177548447,0.3909504192669456,0.38921979572472937,0.3817003031240609,0.0064456374393841425,0.5044955019512102,0.039649801537968446,0.01138150504107851,0.008765994353181195,0.3798537687084342,0.03952959545707672,0.03816869970276958,0.0064456374393841425,0.5044955019512102,0.039649801537968446,0.013457810000145343,0.0
